County,Population 2015,State
Wythe County,29119,Virginia
York County,67837,Virginia
Alexandria city,153511,Virginia
Bristol city,17141,Virginia
Buena Vista city,6618,Virginia
Charlottesville city,46597,Virginia
Chesapeake city,235429,Virginia
Colonial Heights city,17820,Virginia
Covington city,5658,Virginia
Danville city,42082,Virginia
Emporia city,5496,Virginia
Fairfax city,24013,Virginia
Falls Church city,13892,Virginia
Franklin city,8490,Virginia
Fredericksburg city,28118,Virginia
Galax city,6914,Virginia
Hampton city,136454,Virginia
Harrisonburg city,52538,Virginia
Hopewell city,22378,Virginia
Lexington city,7262,Virginia
Lynchburg city,79812,Virginia
Manassas city,41764,Virginia
Manassas Park city,15726,Virginia
Martinsville city,13645,Virginia
Newport News city,182385,Virginia
Norfolk city,246393,Virginia
Norton city,3939,Virginia
Petersburg city,32477,Virginia
Poquoson city,12059,Virginia
Portsmouth city,96201,Virginia
Radford city,17403,Virginia
Richmond city,220289,Virginia
Roanoke city,99897,Virginia
Salem city,25432,Virginia
Staunton city,24416,Virginia
Suffolk city,88161,Virginia
Virginia Beach city,452745,Virginia
Waynesboro city,21491,Virginia
Williamsburg city,15052,Virginia
Winchester city,27284,Virginia
Adams County,19254,Washington
Asotin County,22105,Washington
Benton County,190309,Washington
Chelan County,75644,Washington
Clallam County,73486,Washington
Clark County,459495,Washington
Columbia County,3944,Washington
Cowlitz County,103468,Washington
Douglas County,40534,Washington
Ferry County,7582,Washington
Franklin County,88807,Washington
Garfield County,2219,Washington
Grant County,93259,Washington
Grays Harbor County,71122,Washington
Island County,80593,Washington
Jefferson County,30466,Washington
King County,2117125,Washington
Kitsap County,260131,Washington
Kittitas County,43269,Washington
Klickitat County,21026,Washington
Lewis County,75882,Washington
Lincoln County,10321,Washington
Mason County,61023,Washington
Okanogan County,41516,Washington
Pacific County,20848,Washington
Pend Oreille County,13088,Washington
Pierce County,843954,Washington
San Juan County,16252,Washington
Skagit County,121846,Washington
Skamania County,11339,Washington
Snohomish County,772501,Washington
Spokane County,490945,Washington
Stevens County,43791,Washington
Thurston County,269536,Washington
Wahkiakum County,4042,Washington
Walla Walla County,60338,Washington
Whatcom County,212284,Washington
Whitman County,48177,Washington
Yakima County,248830,Washington
Barbour County,16704,West Virginia
Berkeley County,111901,West Virginia
Boone County,23372,West Virginia
Braxton County,14415,West Virginia
Brooke County,23350,West Virginia
Cabell County,96844,West Virginia
Calhoun County,7470,West Virginia
Clay County,8910,West Virginia
Doddridge County,8176,West Virginia
Fayette County,44997,West Virginia
Gilmer County,8518,West Virginia
Grant County,11766,West Virginia
Greenbrier County,35516,West Virginia
Hampshire County,23353,West Virginia
Hancock County,29815,West Virginia
Hardy County,13852,West Virginia
Harrison County,68714,West Virginia
Jackson County,29237,West Virginia
Jefferson County,56482,West Virginia
Kanawha County,188332,West Virginia
Lewis County,16448,West Virginia
Lincoln County,21415,West Virginia
Logan County,34707,West Virginia
McDowell County,19835,West Virginia
Marion County,56925,West Virginia
Marshall County,31978,West Virginia
Mason County,27037,West Virginia
Mercer County,61164,West Virginia
Mineral County,27451,West Virginia
Mingo County,25292,West Virginia
Monongalia County,104236,West Virginia
Monroe County,13506,West Virginia
Morgan County,17524,West Virginia
Nicholas County,25594,West Virginia
Ohio County,43066,West Virginia
Pendleton County,7229,West Virginia
Pleasants County,7674,West Virginia
Pocahontas County,8607,West Virginia
Preston County,33940,West Virginia
Putnam County,56848,West Virginia
Raleigh County,77510,West Virginia
Randolph County,29126,West Virginia
Ritchie County,9982,West Virginia
Roane County,14435,West Virginia
Summers County,13239,West Virginia
Taylor County,16912,West Virginia
Tucker County,6966,West Virginia
Tyler County,8975,West Virginia
Upshur County,24758,West Virginia
Wayne County,40971,West Virginia
Webster County,8755,West Virginia
Wetzel County,15816,West Virginia
Wirt County,5880,West Virginia
Wood County,86452,West Virginia
Wyoming County,22151,West Virginia
Adams County,20148,Wisconsin
Ashland County,15843,Wisconsin
Barron County,45563,Wisconsin
Bayfield County,14977,Wisconsin
Brown County,258718,Wisconsin
Buffalo County,13192,Wisconsin
Burnett County,15159,Wisconsin
Calumet County,49762,Wisconsin
Chippewa County,63531,Wisconsin
Clark County,34445,Wisconsin
Columbia County,56743,Wisconsin
Crawford County,16391,Wisconsin
Dane County,523643,Wisconsin
Dodge County,88502,Wisconsin
Door County,27554,Wisconsin
Douglas County,43601,Wisconsin
Dunn County,44497,Wisconsin
Eau Claire County,102105,Wisconsin
Florence County,4464,Wisconsin
Fond du Lac County,101973,Wisconsin
Forest County,9057,Wisconsin
Grant County,52250,Wisconsin
Green County,37186,Wisconsin
Green Lake County,18856,Wisconsin
Iowa County,23813,Wisconsin
Iron County,5794,Wisconsin
Jackson County,20554,Wisconsin
Jefferson County,84559,Wisconsin
Juneau County,26224,Wisconsin
Kenosha County,168437,Wisconsin
Kewaunee County,20366,Wisconsin
La Crosse County,118212,Wisconsin
Lafayette County,16829,Wisconsin
Langlade County,19223,Wisconsin
Lincoln County,27980,Wisconsin
Manitowoc County,79806,Wisconsin
Marathon County,135868,Wisconsin
Marinette County,40884,Wisconsin
Marquette County,15075,Wisconsin
Menominee County,4573,Wisconsin
Milwaukee County,957735,Wisconsin
Monroe County,45549,Wisconsin
Oconto County,37435,Wisconsin
Oneida County,35567,Wisconsin
Outagamie County,183245,Wisconsin
Ozaukee County,87850,Wisconsin
Pepin County,7290,Wisconsin
Pierce County,40889,Wisconsin
Polk County,43441,Wisconsin
Portage County,70408,Wisconsin
Price County,13645,Wisconsin
Racine County,195080,Wisconsin
Richland County,17495,Wisconsin
Rock County,161448,Wisconsin
Rusk County,14124,Wisconsin
St. Croix County,87513,Wisconsin
Sauk County,63642,Wisconsin
Sawyer County,16376,Wisconsin
Shawano County,41304,Wisconsin
Sheboygan County,115569,Wisconsin
Taylor County,20455,Wisconsin
Trempealeau County,29550,Wisconsin
Vernon County,30506,Wisconsin
Vilas County,21387,Wisconsin
Walworth County,102804,Wisconsin
Washburn County,15552,Wisconsin
Washington County,133674,Wisconsin
Waukesha County,396488,Wisconsin
Waupaca County,51945,Wisconsin
Waushara County,24033,Wisconsin
Winnebago County,169546,Wisconsin
Wood County,73435,Wisconsin
Albany County,37956,Wyoming
Big Horn County,12022,Wyoming
Campbell County,49220,Wyoming
Carbon County,15559,Wyoming
Converse County,14236,Wyoming
Crook County,7444,Wyoming
Fremont County,40315,Wyoming
Goshen County,13383,Wyoming
Hot Springs County,4741,Wyoming
Johnson County,8585,Wyoming
Laramie County,97121,Wyoming
Lincoln County,18722,Wyoming
Natrona County,82178,Wyoming
Niobrara County,2542,Wyoming
Park County,29228,Wyoming
Platte County,8812,Wyoming
Sheridan County,30009,Wyoming
Sublette County,9899,Wyoming
Sweetwater County,44626,Wyoming
Teton County,23125,Wyoming
Uinta County,20822,Wyoming
Washakie County,8328,Wyoming
Weston County,7234,Wyoming
