County,Population 2015,State
Mitchell County,10832,Iowa
Monona County,8979,Iowa
Monroe County,7973,Iowa
Montgomery County,10234,Iowa
Muscatine County,43011,Iowa
O'Brien County,13984,Iowa
Osceola County,6154,Iowa
Page County,15527,Iowa
Palo Alto County,9133,Iowa
Plymouth County,24800,Iowa
Pocahontas County,7008,Iowa
Polk County,467711,Iowa
Pottawattamie County,93671,Iowa
Poweshiek County,18550,Iowa
Ringgold County,5068,Iowa
Sac County,10021,Iowa
Scott County,172126,Iowa
Shelby County,11927,Iowa
Sioux County,34937,Iowa
Story County,96021,Iowa
Tama County,17337,Iowa
Taylor County,6205,Iowa
Union County,12469,Iowa
Van Buren County,7344,Iowa
Wapello County,35173,Iowa
Warren County,48626,Iowa
Washington County,22247,Iowa
Wayne County,6385,Iowa
Webster County,37071,Iowa
Winnebago County,10609,Iowa
Winneshiek County,20709,Iowa
Woodbury County,102782,Iowa
Worth County,7569,Iowa
Wright County,12773,Iowa
Allen County,12717,Kansas
Anderson County,7808,Kansas
Atchison County,16398,Kansas
Barber County,4823,Kansas
Barton County,27103,Kansas
Bourbon County,14712,Kansas
Brown County,9776,Kansas
Butler County,66741,Kansas
Chase County,2679,Kansas
Chautauqua County,3402,Kansas
Cherokee County,20533,Kansas
Cheyenne County,2679,Kansas
Clark County,2096,Kansas
Clay County,8347,Kansas
Cloud County,9219,Kansas
Coffey County,8384,Kansas
Comanche County,1843,Kansas
Cowley County,35788,Kansas
Crawford County,39217,Kansas
Decatur County,2932,Kansas
Dickinson County,19303,Kansas
Doniphan County,7797,Kansas
Douglas County,118053,Kansas
Edwards County,2968,Kansas
Elk County,2605,Kansas
Ellis County,29029,Kansas
Ellsworth County,6343,Kansas
Finney County,37118,Kansas
Ford County,34536,Kansas
Franklin County,25609,Kansas
Geary County,37030,Kansas
Gove County,2640,Kansas
Graham County,2591,Kansas
Grant County,7733,Kansas
Gray County,6133,Kansas
Greeley County,1330,Kansas
Greenwood County,6244,Kansas
Hamilton County,2474,Kansas
Harper County,5817,Kansas
Harvey County,35073,Kansas
Haskell County,4064,Kansas
Hodgeman County,1893,Kansas
Jackson County,13338,Kansas
Jefferson County,18930,Kansas
Jewell County,2970,Kansas
Johnson County,580159,Kansas
Kearny County,3956,Kansas
Kingman County,7687,Kansas
Kiowa County,2564,Kansas
Labette County,20803,Kansas
Lane County,1670,Kansas
Leavenworth County,79315,Kansas
Lincoln County,3105,Kansas
Linn County,9536,Kansas
Logan County,2825,Kansas
Lyon County,33339,Kansas
McPherson County,28941,Kansas
Marion County,12103,Kansas
Marshall County,9936,Kansas
Meade County,4330,Kansas
Miami County,32553,Kansas
Mitchell County,6282,Kansas
Montgomery County,33314,Kansas
Morris County,5645,Kansas
Morton County,3007,Kansas
Nemaha County,10227,Kansas
Neosho County,16346,Kansas
Ness County,3005,Kansas
Norton County,5550,Kansas
Osage County,15847,Kansas
Osborne County,3683,Kansas
Ottawa County,5975,Kansas
Pawnee County,6838,Kansas
Phillips County,5428,Kansas
Pottawatomie County,23298,Kansas
Pratt County,9691,Kansas
Rawlins County,2506,Kansas
Reno County,63718,Kansas
Republic County,4725,Kansas
Rice County,9977,Kansas
Riley County,75247,Kansas
Rooks County,5174,Kansas
Rush County,3130,Kansas
Russell County,7039,Kansas
Saline County,55691,Kansas
Scott County,4964,Kansas
Sedgwick County,511574,Kansas
Seward County,23152,Kansas
Shawnee County,178725,Kansas
Sheridan County,2512,Kansas
Sherman County,5983,Kansas
Smith County,3704,Kansas
Stafford County,4236,Kansas
Stanton County,2072,Kansas
Stevens County,5806,Kansas
Sumner County,23535,Kansas
Thomas County,7904,Kansas
Trego County,2927,Kansas
Wabaunsee County,6951,Kansas
Wallace County,1518,Kansas
Washington County,5598,Kansas
Wichita County,2157,Kansas
Wilson County,8856,Kansas
Woodson County,3115,Kansas
Wyandotte County,163369,Kansas
Adair County,19027,Kentucky
